ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
92887,69.7%,5 33,29.2%,3 14,3.8%,2 43,116.7%,2 34,1 08
95602,20.9%,"2 ,499",24.4%,"2 ,067",7.9%,"1 ,662",22.7%,"1 ,540","1 ,255"
95603,82.3%,"1 ,559",24.8%,8 55,1.5%,6 85,59.6%,6 75,4 23
95631,1.2%,"1 ,558",3.1%,"1 ,539",4.8%,"1 ,493",36.5%,"1 ,425","1 ,044"
95648,101.3%,1 61,77.8%,8 0,7.1%,4 5,90.9%,4 2,2 2
95650,81.5%,5 01,74.7%,2 76,23.4%,1 58,62.0%,1 28,7 9
95658,111.3%,4 69,65.7%,2 22,14.5%,1 34,39.3%,1 17,8 4
95661,125.0%,9,100.0%,4,0.0%,2,0.0%,2,-
95663,120.5%,8 6,143.8%,3 9,0.0%,1 6,77.8%,1 6,9
95677,366.7%,4 2,200.0%,9,50.0%,3,0.0%,2,2
95678,400.0%,1 5,50.0%,3,-50.0%,2,300.0%,4,1
95681,433.3%,1 6,0.0%,3,50.0%,3,0.0%,2,-
95701,14.6%,2 67,8.4%,2 33,4.9%,2 15,13.3%,2 05,1 81
95703,9.0%,3 39,16.5%,3 11,6.4%,2 67,54.0%,2 51,1 63
95713,18.3%,"1 ,717",3.7%,"1 ,451",2.5%,"1 ,399",47.4%,"1 ,365",9 26
95714,19.0%,1 00,12.0%,8 4,7.1%,7 5,1.4%,7 0,6 9
95715,-8.8%,7 3,12.7%,8 0,4.4%,7 1,19.3%,6 8,5 7
95717,17.5%,4 7,0.0%,4 0,14.3%,4 0,16.7%,3 5,3 0
95722,7.5%,"1 ,233",19.5%,"1 ,147",8.7%,9 60,46.2%,8 83,6 04
95724,78.1%,5 7,10.3%,3 2,38.1%,2 9,50.0%,2 1,1 4
95736,0.0%,1 7,0.0%,-,0.0%,-,0.0%,-,-
95746,100.8%,4 74,62.8%,2 36,59.3%,1 45,65.5%,9 1,5 5
95747,127.3%,2 5,450.0%,1 1,-50.0%,2,300.0%,4,1
95765,400.0%,1 5,200.0%,3,0.0%,1,0.0%,1,-
96140,16.4%,6 60,38.6%,5 67,54.9%,4 09,92.7%,2 64,1 37
96141,55.3%,4 94,56.7%,3 18,31.0%,2 03,49.0%,1 55,1 04
96143,19.3%,5 49,15.9%,4 60,24.8%,3 97,59.8%,3 18,1 99
96145,26.2%,"1 ,304",14.3%,"1 ,033",12.3%,9 04,67.4%,8 05,4 81
96146,16.3%,7 35,14.1%,6 32,11.0%,5 54,56.9%,4 99,3 18
96148,23.7%,4 23,50.0%,3 42,34.9%,2 28,87.8%,1 69,9 0
95915,100.0%,2,0.0%,1,0.0%,1,0.0%,1,-
95923,13.8%,6 6,26.1%,5 8,-2.1%,4 6,38.2%,4 7,3 4
95934,0.0%,1 2,71.4%,1 2,-12.5%,7,14.3%,8,7
95947,38.8%,9 3,28.8%,6 7,-13.3%,5 2,39.5%,6 0,4 3
95956,10.6%,7 3,20.0%,6 6,25.0%,5 5,33.3%,4 4,3 3
95971,37.4%,5 29,54.6%,3 85,18.0%,2 49,47.6%,2 11,1 43
95983,11.4%,3 9,34.6%,3 5,8.3%,2 6,4.3%,2 4,2 3
95984,-17.4%,1 9,0.0%,2 3,9.5%,2 3,40.0%,2 1,1 5
96020,25.3%,2 87,50.7%,2 29,-6.2%,1 52,28.6%,1 62,1 26
96063,22.6%,7 6,12.7%,6 2,19.6%,5 5,84.0%,4 6,2 5
96103,25.3%,5 30,37.3%,4 23,16.7%,3 08,21.1%,2 64,2 18
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
96105,39.3%,3 9,21.7%,2 8,4.5%,2 3,37.5%,2 2,1 6
96106,11.0%,1 11,25.0%,1 00,17.6%,8 0,17.2%,6 8,5 8
96122,33.4%,5 11,45.6%,3 83,14.8%,2 63,26.5%,2 29,1 81
96129,40.0%,1 4,150.0%,1 0,0.0%,4,0.0%,4,4
96137,13.9%,9 26,33.3%,8 13,12.5%,6 10,27.5%,5 42,4 25
91752,101.0%,1 99,30.3%,9 9,2.7%,7 6,5.7%,7 4,7 0
92201,203.6%,8 5,7.7%,2 8,-7.1%,2 6,0.0%,2 8,2 8
92203,223.1%,4 2,30.0%,1 3,25.0%,1 0,-11.1%,8,9
92210,385.7%,3 4,40.0%,7,150.0%,5,-60.0%,2,5
92211,875.0%,3 9,100.0%,4,-33.3%,2,50.0%,3,2
92220,99.2%,7 53,45.4%,3 78,39.0%,2 60,12.0%,1 87,1 67
92223,97.0%,"1 ,269",60.2%,6 44,42.0%,4 02,29.2%,2 83,2 19
92225,184.2%,1 08,72.7%,3 8,22.2%,2 2,12.5%,1 8,1 6
92230,66.1%,1 03,67.6%,6 2,164.3%,3 7,16.7%,1 4,1 2
92234,495.7%,1 37,9.5%,2 3,-12.5%,2 1,-20.0%,2 4,3 0
92236,135.7%,3 3,-17.6%,1 4,-10.5%,1 7,-9.5%,1 9,2 1
92239,500.0%,6,0.0%,1,0.0%,-,0.0%,-,-
92240,179.7%,1 93,43.8%,6 9,-5.9%,4 8,-7.3%,5 1,5 5
92241,250.0%,1 19,61.9%,3 4,31.3%,2 1,0.0%,1 6,1 6
92253,360.0%,6 9,36.4%,1 5,10.0%,1 1,-28.6%,1 0,1 4
92254,45.5%,1 6,37.5%,1 1,33.3%,8,0.0%,6,6
92258,300.0%,8,0.0%,2,0.0%,2,0.0%,2,2
92260,370.8%,1 13,26.3%,2 4,58.3%,1 9,-20.0%,1 2,1 5
92262,246.4%,9 7,64.7%,2 8,6.3%,1 7,0.0%,1 6,1 6
92264,461.5%,1 46,85.7%,2 6,40.0%,1 4,0.0%,1 0,1 0
92270,295.0%,7 9,100.0%,2 0,0.0%,1 0,-16.7%,1 0,1 2
92274,116.7%,5 2,41.2%,2 4,13.3%,1 7,-6.3%,1 5,1 6
92276,95.7%,4 5,9.5%,2 3,-8.7%,2 1,15.0%,2 3,2 0
92282,47.1%,7 5,24.4%,5 1,5.1%,4 1,11.4%,3 9,3 5
92320,67.5%,5 73,93.2%,3 42,88.3%,1 77,54.1%,9 4,6 1
92501,58.1%,6 8,53.6%,4 3,-6.7%,2 8,3.4%,3 0,2 9
92503,162.3%,8 50,55.8%,3 24,14.9%,2 08,28.4%,1 81,1 41
92504,159.5%,3 27,50.0%,1 26,12.0%,8 4,8.7%,7 5,6 9
92505,180.9%,2 50,78.0%,8 9,-2.0%,5 0,0.0%,5 1,5 1
92506,273.8%,3 85,77.6%,1 03,38.1%,5 8,10.5%,4 2,3 8
92507,169.3%,4 04,94.8%,1 50,-6.1%,7 7,7.9%,8 2,7 6
92508,289.3%,2 18,124.0%,5 6,8.7%,2 5,-11.5%,2 3,2 6
92509,97.3%,5 88,23.1%,2 98,12.6%,2 42,7.0%,2 15,2 01
92518,0.0%,1,0.0%,1,0.0%,-,0.0%,-,-
92530,79.2%,"1 ,625",50.9%,9 07,29.5%,6 01,30.3%,4 64,3 56
92532,121.4%,8 39,56.6%,3 79,23.5%,2 42,78.2%,1 96,1 10
92536,52.4%,5 00,21.5%,3 28,45.9%,2 70,55.5%,1 85,1 19
92539,32.4%,6 30,24.0%,4 76,29.3%,3 84,42.8%,2 97,2 08
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92543,187.2%,3 59,47.1%,1 25,11.8%,8 5,18.8%,7 6,6 4
92544,83.4%,"1 ,091",36.8%,5 95,16.9%,4 35,27.8%,3 72,2 91
92545,173.4%,6 07,43.2%,2 22,15.7%,1 55,54.0%,1 34,8 7
92548,107.6%,3 28,37.4%,1 58,30.7%,1 15,60.0%,8 8,5 5
92549,2.5%,"2 ,548",5.9%,"2 ,487",22.5%,"2 ,348",20.7%,"1 ,917","1 ,588"
92551,197.3%,2 20,29.8%,7 4,-9.5%,5 7,-4.5%,6 3,6 6
92553,137.3%,3 63,30.8%,1 53,-4.1%,1 17,4.3%,1 22,1 17
92555,201.3%,7 17,81.7%,2 38,22.4%,1 31,13.8%,1 07,9 4
92557,139.6%,6 90,65.5%,2 88,25.2%,1 74,21.9%,1 39,1 14
92561,34.1%,3 54,23.9%,2 64,38.3%,2 13,43.9%,1 54,1 07
92562,62.9%,"1 ,789",42.0%,"1 ,098",39.3%,7 73,43.0%,5 55,3 88
92563,217.3%,6 06,72.1%,1 91,19.4%,1 11,66.1%,9 3,5 6
92567,83.6%,3 03,38.7%,1 65,40.0%,1 19,66.7%,8 5,5 1
92570,80.1%,"1 ,940",49.0%,"1 ,077",31.9%,7 23,34.6%,5 48,4 07
92571,111.8%,4 30,26.1%,2 03,1.3%,1 61,2.6%,1 59,1 55
92582,100.0%,1 56,27.9%,7 8,52.5%,6 1,5.3%,4 0,3 8
92583,188.9%,3 38,51.9%,1 17,14.9%,7 7,13.6%,6 7,5 9
92584,146.3%,6 33,46.9%,2 57,43.4%,1 75,100.0%,1 22,6 1
92585,247.2%,2 50,63.6%,7 2,41.9%,4 4,14.8%,3 1,2 7
92586,515.8%,2 34,81.0%,3 8,50.0%,2 1,0.0%,1 4,1 4
92587,160.7%,5 84,107.4%,2 24,12.5%,1 08,50.0%,9 6,6 4
92590,17.6%,4 08,30.9%,3 47,74.3%,2 65,49.0%,1 52,1 02
92591,206.0%,1 53,31.6%,5 0,90.0%,3 8,42.9%,2 0,1 4
92592,100.8%,"1 ,313",38.0%,6 54,83.7%,4 74,61.3%,2 58,1 60
92595,72.2%,"1 ,212",132.3%,7 04,21.2%,3 03,64.5%,2 50,1 52
92596,229.4%,3 36,59.4%,1 02,52.4%,6 4,55.6%,4 2,2 7
92860,275.0%,1 95,67.7%,5 2,3.3%,3 1,-25.0%,3 0,4 0
92879,113.1%,2 28,30.5%,1 07,7.9%,8 2,4.1%,7 6,7 3
92880,238.5%,4 40,58.5%,1 30,6.5%,8 2,11.6%,7 7,6 9
92881,206.7%,3 65,70.0%,1 19,16.7%,7 0,46.3%,6 0,4 1
92882,112.3%,"1 ,225",77.5%,5 77,28.5%,3 25,27.8%,2 53,1 98
92883,132.6%,"1 ,433",102.6%,6 16,58.3%,3 04,97.9%,1 92,9 7
95608,162.5%,2 1,-20.0%,8,66.7%,1 0,-40.0%,6,1 0
95610,128.6%,1 6,133.3%,7,-25.0%,3,33.3%,4,3
95615,0.0%,-,0.0%,-,0.0%,-,0.0%,-,-
95621,50.0%,1 2,60.0%,8,150.0%,5,0.0%,2,2
95624,314.3%,2 9,250.0%,7,0.0%,2,-33.3%,2,3
95626,42.9%,1 0,133.3%,7,200.0%,3,-50.0%,1,2
95628,170.0%,2 7,150.0%,1 0,-50.0%,4,300.0%,8,2
95630,550.0%,1 43,266.7%,2 2,-25.0%,6,100.0%,8,4
95632,66.7%,1 5,80.0%,9,400.0%,5,0.0%,1,1
95638,40.0%,7,0.0%,5,25.0%,5,300.0%,4,1
95641,33.3%,8,20.0%,6,-16.7%,5,20.0%,6,5
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95655,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
95660,128.6%,1 6,16.7%,7,-40.0%,6,42.9%,1 0,7
95662,200.0%,2 1,600.0%,7,0.0%,1,-100.0%,-,1
95670,328.6%,3 0,250.0%,7,-50.0%,2,300.0%,4,1
95673,100.0%,2 2,10.0%,1 1,11.1%,1 0,12.5%,9,8
95683,100.0%,3 2,220.0%,1 6,25.0%,5,100.0%,4,2
95690,50.0%,6,33.3%,4,50.0%,3,100.0%,2,1
95693,380.0%,2 4,66.7%,5,-40.0%,3,66.7%,5,3
95742,180.0%,1 4,0.0%,5,0.0%,-,-100.0%,-,1
95757,550.0%,1 3,-33.3%,2,0.0%,3,50.0%,3,2
95758,733.3%,2 5,200.0%,3,0.0%,1,-50.0%,1,2
95811,40.0%,1 4,42.9%,1 0,16.7%,7,0.0%,6,6
95814,20.0%,6,25.0%,5,0.0%,4,0.0%,4,4
95815,51.9%,4 1,-3.6%,2 7,-3.4%,2 8,-58.6%,2 9,7 0
95816,44.4%,2 6,63.6%,1 8,10.0%,1 1,-23.1%,1 0,1 3
95817,11.8%,1 9,-26.1%,1 7,-4.2%,2 3,0.0%,2 4,2 4
95818,18.2%,2 6,10.0%,2 2,5.3%,2 0,0.0%,1 9,1 9
95819,42.9%,1 0,40.0%,7,-16.7%,5,100.0%,6,3
95820,62.5%,3 9,-14.3%,2 4,3.7%,2 8,-34.1%,2 7,4 1
95821,50.0%,1 8,33.3%,1 2,28.6%,9,-50.0%,7,1 4
95822,70.0%,3 4,0.0%,2 0,0.0%,2 0,-20.0%,2 0,2 5
95823,333.3%,3 9,0.0%,9,-18.2%,9,10.0%,1 1,1 0
95824,171.4%,1 9,-30.0%,7,0.0%,1 0,-33.3%,1 0,1 5
95825,250.0%,7,0.0%,2,-33.3%,2,0.0%,3,3
95826,80.0%,9,150.0%,5,-50.0%,2,-33.3%,4,6
95827,240.0%,1 7,25.0%,5,33.3%,4,200.0%,3,1
95828,363.6%,5 1,83.3%,1 1,0.0%,6,-14.3%,6,7
95829,100.0%,2 4,100.0%,1 2,-14.3%,6,-22.2%,7,9
95830,100.0%,2,0.0%,1,0.0%,-,0.0%,-,-
95831,120.0%,1 1,66.7%,5,50.0%,3,-50.0%,2,4
95832,350.0%,9,-50.0%,2,100.0%,4,0.0%,2,2
95833,185.7%,2 0,-12.5%,7,-11.1%,8,-30.8%,9,1 3
95834,0.0%,8,-100.0%,-,-66.7%,1,50.0%,3,2
95835,700.0%,8,0.0%,1,0.0%,-,0.0%,-,-
95837,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
95838,61.5%,6 3,-2.5%,3 9,-11.1%,4 0,-25.0%,4 5,6 0
95841,266.7%,1 1,50.0%,3,0.0%,2,-33.3%,2,3
95842,114.3%,1 5,75.0%,7,100.0%,4,-50.0%,2,4
95843,300.0%,8,100.0%,2,0.0%,1,-100.0%,-,2
95864,550.0%,1 3,0.0%,2,-100.0%,-,-33.3%,2,3
95023,115.2%,9 9,17.9%,4 6,-17.0%,3 9,88.0%,4 7,2 5
95043,-3.7%,5 2,38.5%,5 4,44.4%,3 9,107.7%,2 7,1 3
95045,76.7%,5 3,11.1%,3 0,12.5%,2 7,50.0%,2 4,1 6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95075,42.9%,1 0,250.0%,7,0.0%,2,0.0%,-,-
91701,115.9%,1 90,54.4%,8 8,29.5%,5 7,-2.2%,4 4,4 5
91708,266.7%,3 3,28.6%,9,0.0%,7,16.7%,7,6
91709,78.9%,"1 ,692",34.2%,9 46,19.5%,7 05,22.4%,5 90,4 82
91710,72.4%,1 81,34.6%,1 05,-10.3%,7 8,8.7%,8 7,8 0
91730,112.2%,8 7,10.8%,4 1,-2.6%,3 7,-13.6%,3 8,4 4
91737,83.9%,2 28,27.8%,1 24,7.8%,9 7,7.1%,9 0,8 4
91739,99.3%,2 69,60.7%,1 35,7.7%,8 4,32.2%,7 8,5 9
91759,6.2%,1 38,10.2%,1 30,13.5%,1 18,-6.3%,1 04,1 11
91761,98.0%,2 02,27.5%,1 02,-1.2%,8 0,-4.7%,8 1,8 5
91762,97.8%,1 78,36.4%,9 0,-8.3%,6 6,-6.5%,7 2,7 7
91763,58.3%,9 5,20.0%,6 0,0.0%,5 0,0.0%,5 0,5 0
91764,60.0%,1 60,20.5%,1 00,-5.7%,8 3,6.0%,8 8,8 3
91784,78.8%,2 02,28.4%,1 13,17.3%,8 8,19.0%,7 5,6 3
91786,114.3%,1 05,28.9%,4 9,-2.6%,3 8,-4.9%,3 9,4 1
92242,414.3%,3 6,16.7%,7,-14.3%,6,0.0%,7,7
92252,120.2%,1 85,58.5%,8 4,17.8%,5 3,0.0%,4 5,4 5
92256,109.1%,1 38,69.2%,6 6,11.4%,3 9,-12.5%,3 5,4 0
92267,1000.0%,2 2,100.0%,2,0.0%,1,0.0%,1,-
92268,11.3%,5 9,71.0%,5 3,0.0%,3 1,0.0%,-,-
92277,128.6%,1 60,66.7%,7 0,-23.6%,4 2,41.0%,5 5,3 9
92280,400.0%,5,0.0%,1,0.0%,1,-50.0%,1,2
92284,140.4%,3 87,140.3%,1 61,-34.3%,6 7,7.4%,1 02,9 5
92285,18.8%,8 2,23.2%,6 9,1.8%,5 6,-1.8%,5 5,5 6
92301,140.1%,3 53,53.1%,1 47,-2.0%,9 6,2.1%,9 8,9 6
92304,0.0%,-,0.0%,-,0.0%,-,-100.0%,-,1
92305,5.3%,2 76,6.9%,2 62,9.9%,2 45,8.8%,2 23,2 05
92307,201.0%,2 95,71.9%,9 8,0.0%,5 7,-13.6%,5 7,6 6
92308,200.9%,3 28,34.6%,1 09,28.6%,8 1,10.5%,6 3,5 7
92309,0.0%,3,200.0%,3,0.0%,1,0.0%,-,-
92311,142.6%,1 31,8.0%,5 4,11.1%,5 0,-6.3%,4 5,4 8
92313,213.6%,1 38,100.0%,4 4,-12.0%,2 2,38.9%,2 5,1 8
92314,4.4%,"4 ,872",10.5%,"4 ,668",29.1%,"4 ,226",20.5%,"3 ,274","2 ,718"
92315,3.8%,"5 ,175",10.2%,"4 ,987",22.9%,"4 ,524",33.4%,"3 ,681","2 ,760"
92316,59.6%,2 33,15.9%,1 46,0.0%,1 26,5.0%,1 26,1 20
92317,5.4%,1 36,3.2%,1 29,6.8%,1 25,17.0%,1 17,1 00
92318,0.0%,4,0.0%,-,-100.0%,-,0.0%,1,-
92321,-0.4%,2 60,12.0%,2 61,1.3%,2 33,43.8%,2 30,1 60
92322,-4.9%,4 67,2.1%,4 91,4.8%,4 81,28.6%,4 59,3 57
92324,80.6%,6 70,30.2%,3 71,8.4%,2 85,15.4%,2 63,2 28
92325,-1.7%,"4 ,044",3.4%,"4 ,115",9.0%,"3 ,978",20.3%,"3 ,650","3 ,035"
92327,50.0%,3,0.0%,2,0.0%,-,-100.0%,-,1
92332,0.0%,-,0.0%,-,0.0%,-,0.0%,-,-
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 26,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92333,6.2%,6 35,8.5%,5 98,16.0%,5 51,12.6%,4 75,4 22
92335,44.7%,4 21,13.2%,2 91,-5.9%,2 57,-3.9%,2 73,2 84
92336,155.5%,5 34,34.0%,2 09,-6.0%,1 56,1.8%,1 66,1 63
92337,97.0%,2 64,38.1%,1 34,-5.8%,9 7,6.2%,1 03,9 7
92338,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
92339,5.0%,4 45,6.5%,4 24,16.0%,3 98,15.5%,3 43,2 97
92341,4.3%,6 49,9.3%,6 22,13.8%,5 69,15.5%,5 00,4 33
92342,144.4%,4 4,38.5%,1 8,-7.1%,1 3,7.7%,1 4,1 3
92344,54.7%,7 27,31.3%,4 70,33.6%,3 58,46.4%,2 68,1 83
92345,147.7%,6 86,41.3%,2 77,5.9%,1 96,6.9%,1 85,1 73
92346,148.0%,6 30,62.8%,2 54,19.1%,1 56,12.0%,1 31,1 17
92347,160.0%,1 3,66.7%,5,50.0%,3,0.0%,2,2
92352,-0.2%,"6 ,293",5.1%,"6 ,304",13.5%,"5 ,999",25.0%,"5 ,284","4 ,227"
92354,241.5%,2 22,66.7%,6 5,8.3%,3 9,24.1%,3 6,2 9
92356,73.0%,1 09,12.5%,6 3,16.7%,5 6,29.7%,4 8,3 7
92358,4.4%,2 13,13.3%,2 04,2.9%,1 80,6.7%,1 75,1 64
92359,65.1%,3 17,44.4%,1 92,47.8%,1 33,30.4%,9 0,6 9
92363,131.6%,4 4,90.0%,1 9,-16.7%,1 0,9.1%,1 2,1 1
92364,-50.0%,1,0.0%,2,100.0%,2,0.0%,1,1
92365,94.4%,3 5,5.9%,1 8,21.4%,1 7,-6.7%,1 4,1 5
92368,225.0%,1 3,33.3%,4,-25.0%,3,100.0%,4,2
92371,59.3%,8 92,63.7%,5 60,31.0%,3 42,29.9%,2 61,2 01
92372,59.8%,3 98,59.6%,2 49,79.3%,1 56,42.6%,8 7,6 1
92373,56.8%,7 76,42.7%,4 95,38.2%,3 47,29.4%,2 51,1 94
92374,153.3%,2 33,39.4%,9 2,15.8%,6 6,5.6%,5 7,5 4
92376,45.1%,3 54,10.4%,2 44,0.0%,2 21,-7.5%,2 21,2 39
92377,141.0%,1 47,45.2%,6 1,-2.3%,4 2,2.4%,4 3,4 2
92378,5.3%,1 80,13.2%,1 71,8.6%,1 51,18.8%,1 39,1 17
92382,3.1%,"2 ,560",7.5%,"2 ,482",15.6%,"2 ,309",10.7%,"1 ,997","1 ,804"
92385,11.4%,1 17,7.1%,1 05,12.6%,9 8,31.8%,8 7,6 6
92386,10.8%,"1 ,756",7.1%,"1 ,585",21.9%,"1 ,480",13.5%,"1 ,214","1 ,070"
92391,5.8%,9 32,6.1%,8 81,6.7%,8 30,26.5%,7 78,6 15
92392,179.1%,4 41,51.9%,1 58,-7.1%,1 04,7.7%,1 12,1 04
92394,159.5%,2 05,27.4%,7 9,-1.6%,6 2,-11.3%,6 3,7 1
92395,128.2%,2 35,6.2%,1 03,-3.0%,9 7,7.5%,1 00,9 3
92397,9.9%,"1 ,572",25.5%,"1 ,431",39.0%,"1 ,140",28.7%,8 20,6 37
92398,116.7%,1 3,50.0%,6,-20.0%,4,25.0%,5,4
92399,46.4%,"1 ,861",32.7%,"1 ,271",33.2%,9 58,34.9%,7 19,5 33
92401,-18.2%,9,-21.4%,1 1,7.7%,1 4,-13.3%,1 3,1 5
92404,49.2%,6 31,36.0%,4 23,-7.7%,3 11,1.5%,3 37,3 32
92405,44.4%,3 48,6.6%,2 41,-1.7%,2 26,-6.9%,2 30,2 47
92407,61.6%,"1 ,107",27.3%,6 85,4.1%,5 38,7.0%,5 17,4 83
92408,53.1%,9 8,-4.5%,6 4,-6.9%,6 7,-5.3%,7 2,7 6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92410,33.8%,3 96,1.4%,2 96,-8.5%,2 92,-1.8%,3 19,3 25
92411,17.5%,2 42,0.5%,2 06,-4.2%,2 05,-4.0%,2 14,2 23
93558,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
93562,233.3%,1 0,50.0%,3,-60.0%,2,25.0%,5,4
91901,13.6%,"2 ,430",26.9%,"2 ,140",39.8%,"1 ,686",25.4%,"1 ,206",9 62
91902,106.1%,6 8,50.0%,3 3,15.8%,2 2,-29.6%,1 9,2 7
91905,34.9%,2 01,30.7%,1 49,21.3%,1 14,30.6%,9 4,7 2
91906,29.1%,4 13,35.0%,3 20,50.0%,2 37,22.5%,1 58,1 29
91910,293.9%,1 30,120.0%,3 3,-34.8%,1 5,27.8%,2 3,1 8
91911,362.5%,1 11,60.0%,2 4,-6.3%,1 5,6.7%,1 6,1 5
91913,297.1%,1 39,105.9%,3 5,41.7%,1 7,50.0%,1 2,8
91914,223.9%,2 17,116.1%,6 7,55.0%,3 1,42.9%,2 0,1 4
91915,711.8%,1 38,70.0%,1 7,66.7%,1 0,-14.3%,6,7
91916,-0.8%,3 85,13.5%,3 88,36.3%,3 42,14.1%,2 51,2 20
91917,11.8%,7 6,7.9%,6 8,12.5%,6 3,21.7%,5 6,4 6
91931,0.0%,7 2,0.0%,-,0.0%,-,0.0%,-,-
91932,222.2%,2 9,28.6%,9,0.0%,7,40.0%,7,5
91934,29.2%,3 1,26.3%,2 4,46.2%,1 9,-13.3%,1 3,1 5
91935,15.0%,"1 ,330",19.4%,"1 ,157",25.7%,9 69,13.4%,7 71,6 80
91941,203.4%,8 8,31.8%,2 9,37.5%,2 2,14.3%,1 6,1 4
91942,633.3%,4 4,-14.3%,6,75.0%,7,-20.0%,4,5
91945,135.3%,4 0,41.7%,1 7,-25.0%,1 2,0.0%,1 6,1 6
91950,160.0%,6 5,13.6%,2 5,-15.4%,2 2,-25.7%,2 6,3 5
91962,8.2%,4 07,15.3%,3 76,2.5%,3 26,8.9%,3 18,2 92
91963,13.2%,7 7,19.3%,6 8,21.3%,5 7,17.5%,4 7,4 0
91977,224.0%,3 11,43.3%,9 6,21.8%,6 7,14.6%,5 5,4 8
91978,83.0%,2 47,51.7%,1 35,39.1%,8 9,12.3%,6 4,5 7
91980,0.0%,4,100.0%,4,-33.3%,2,-25.0%,3,4
92003,87.6%,2 72,81.3%,1 45,100.0%,8 0,110.5%,4 0,1 9
92004,123.8%,4 7,0.0%,2 1,10.5%,2 1,58.3%,1 9,1 2
92007,366.7%,2 8,100.0%,6,0.0%,3,-100.0%,-,2
92008,172.4%,7 9,31.8%,2 9,15.8%,2 2,46.2%,1 9,1 3
92009,315.1%,4 40,100.0%,1 06,6.0%,5 3,42.9%,5 0,3 5
92010,284.0%,9 6,108.3%,2 5,20.0%,1 2,42.9%,1 0,7
92011,493.8%,9 5,33.3%,1 6,-14.3%,1 2,180.0%,1 4,5
92014,183.7%,1 22,65.4%,4 3,62.5%,2 6,33.3%,1 6,1 2
92019,112.6%,"1 ,033",59.9%,4 86,44.8%,3 04,32.9%,2 10,1 58
92020,356.0%,1 14,92.3%,2 5,8.3%,1 3,9.1%,1 2,1 1
92021,80.7%,"1 ,068",72.8%,5 91,57.6%,3 42,41.8%,2 17,1 53
92024,170.0%,3 24,42.9%,1 20,20.0%,8 4,112.1%,7 0,3 3
92025,80.2%,3 37,47.2%,1 87,46.0%,1 27,52.6%,8 7,5 7
92026,54.8%,"1 ,763",44.0%,"1 ,139",56.9%,7 91,38.1%,5 04,3 65
